what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286281419218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286281421859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286281423906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286281426343
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286281429078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286281429109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286281429156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286287248906
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286287258593
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1286287279734
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1286287279765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286287281484
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286287281828
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1286287282109
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1286287282140
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286287282156
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286287283859
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286287285046
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286287285125
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286287285156
